paper_id,filename
110,why-europe-needs-a-nuclear-deterrent-a-critical-appraisal__Martens-Centre-Research-Paper-1.pdf
111,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_13.pdf
112,the-7ds-democracy-in-depth__Democracy.pdf
113,reconnecting-the-british-to-europe-strategic-imperatives-and-inconvenient-truths__Martens-Centre-Policy-Brief-1.pdf
114,interparty-relations-in-the-european-parliament-1952-2024-between-cooperative-and-adversarial-politics__Martens-Centre-Research-Paper.pdf
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf
117,navigating-demographic-dynamics-strategies-for-tomorrow_16.pdf
118,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_4.pdf
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf
120,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_5.pdf
121,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_16.pdf
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf
123,the-7ds-defence-in-depth__Defence.pdf
124,gaining-insights-into-the-gender-gap-and-orientations-of-young-european-citizens-an-analysis-of-longitudinal-glocalities-survey-data-from-eight-european-countries__Gaining-Insights-Into-the-Gender-Gap.pdf
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf
128,the-agenda-of-the-new-eu-institutional-cycle__Eleventh-European-Studies-conference-proceedings.pdf
129,artificial-intelligence-and-democracy__AI-and-Democracy.pdf
130,evaluating-chinas-energy-outlook-the-reds-are-far-from-green__Evaluating-Chinas-Energy-Outlook.pdf
131,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_6.pdf
132,navigating-demographic-dynamics-strategies-for-tomorrow_14.pdf
133,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_15.pdf
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf
135,a-digital-euro-balancing-innovation-autonomy-and-trust__Martens-Centre-Policy-Brief.pdf
136,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union__European-View-Autumn-2023.pdf
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf
138,publications.pdf
139,navigating-demographic-dynamics-strategies-for-tomorrow_6.pdf
140,navigating-through-renewed-economic-uncertainty_14.pdf
141,navigating-through-renewed-economic-uncertainty_15.pdf
142,navigating-demographic-dynamics-strategies-for-tomorrow_7.pdf
143,chinas-influence-on-the-western-balkans-eu-accession-process-synergies-and-obstacles__Chinas-Influence-on-the-Western-Balkans-EU-Accession-Process-Synergies-and-Obstacles.pdf
144,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_12.pdf
145,the-7ds-for-sustainability-175-proposals-for-the-next-legislature__The-7Ds-for-Sustainability.pdf
146,a-blueprint-for-accelerated-integration-and-phasing-in__KAS-Skopje-Collaborative-Publication.pdf
147,navigating-through-renewed-economic-uncertainty_9.pdf
148,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions__European-View-Autumn-2024.pdf
149,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_10.pdf
150,the-future-of-transatlantic-relations_alli-2025-the-role-of-italy-in-shaping-the-transatlantic-relationship-under-trump.pdf
151,the-future-of-transatlantic-relations_Owning-the-liberal-international-order.pdf
152,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_European-View-Autumn-2023.pdf
153,navigating-demographic-dynamics-strategies-for-tomorrow_5.pdf
154,brexit-navigating-the-politics-of-discord__Martens-Centre-Policy-Brief.pdf
155,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_9.pdf
156,finlands-nato-strategy__Finlands-NATO-Strategy-ENG.pdf
157,navigating-through-renewed-economic-uncertainty_17.pdf
158,navigating-through-renewed-economic-uncertainty_16.pdf
159,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_8.pdf
160,navigating-demographic-dynamics-strategies-for-tomorrow_4.pdf
161,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_11.pdf
162,the-future-of-transatlantic-relations__Make-the-West-Great-Again-1.pdf
163,navigating-through-renewed-economic-uncertainty_8.pdf
164,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_15.pdf
165,battle-for-democracy-in-the-digital-age__Battle-for-Democracy-in-the-Digital-Age-CZ.pdf
166,keeping-the-european-momentum-a-pan-european-study-on-eu-enlargement-and-deepening__Martens-Centre-Pan-European-Survey.pdf
167,the-7ds-debt-in-depth__Debt.pdf
168,navigating-through-renewed-economic-uncertainty_12.pdf
169,why-price-stability-matters__Why-Price-Stability-Matters.pdf
170,are-the-mainstream-parties-in-europe-germany-and-austria-crumbling-political-parties-as-decisive-actors-in-liberal-democracies__Are-the-Mainstream-Parties-in-Europe-Germany-and-Austria-crumbling.pdf
171,navigating-through-renewed-economic-uncertainty_13.pdf
172,the-future-of-transatlantic-relations_kochis-2025-the-trump-administration-s-belief-in-multipolarity-informs-its-transatlantic-security-policy.pdf
173,navigating-demographic-dynamics-strategies-for-tomorrow_1.pdf
174,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_14.pdf
175,finland-in-the-european-union-what-next__Finland-in-the-EU.pdf
176,the-future-of-european-development-cooperation-a-centre-right-perspective__Martens-Centre-Policy-Brief.pdf
177,activity-report-2022__Activity-Report-2022.pdf
178,preventing-georgia-from-sliding-away-options-for-the-european-union__Georgia-In-Brief.pdf
179,reconstructing-ukraine-how-the-eu-and-ukraine-can-mutually-benefit__Reconstructing-Ukraine-FINAL.pdf
180,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_European-View-Autumn-2024.pdf
181,navigating-demographic-dynamics-strategies-for-tomorrow_3.pdf
182,russian-economy-still-standing-but-stuck__Milov-Russian-Economy-.pdf
183,navigating-through-renewed-economic-uncertainty_11.pdf
184,navigating-through-renewed-economic-uncertainty_10.pdf
185,navigating-demographic-dynamics-strategies-for-tomorrow_2.pdf
186,the-future-of-transatlantic-relations_d-haeninck-hondeghem-2025-new-directives-for-equality-bodies-a-unified-future.pdf
187,the-future-of-transatlantic-relations_leuprecht-2025-the-europe-canada-schicksalsgemeinschaft-transatlantic-interdependency-in-the-new-north-atlantic-triangle.pdf
