word,count
nov,143
strength,143
component,143
dominance,143
leverage,143
constitution,143
uploads,142
indo,142
prior,142
wind,142
unprecedented,142
actively,142
body,142
comparison,142
expression,142
leuven,142
pan,142
juri,142
story,142
methodology,142
gulf,142
resulting,141
depends,141
dominated,141
involve,141
undermine,141
recommendation,141
necessarily,141
stages,141
purposes,141
israel,141
philosophy,141
electronic,141
economically,140
arrangements,140
voice,140
met,140
facility,140
logic,140
credit,140
stiftung,140
contributing,140
immigrant,140
tradition,140
double,140
integrate,140
oversight,140
huge,139
earth,139
horizon,139
retirement,139
nationals,139
pension,139
pressures,138
emergency,138
surveillance,138
neutrality,138
refugee,138
missions,138
restrictions,138
belief,138
birth,138
dynamic,138
integrity,138
lisbon,138
grant,137
complete,137
detailed,137
saw,137
heavily,137
impossible,137
respectively,137
innovations,137
dependencies,137
desire,137
biggest,136
align,136
universal,136
balancing,136
stance,136
pursue,136
enabling,136
entry,136
interventions,136
declining,136
corporate,136
soci,136
files,135
switzerland,135
presents,135
eco,135
taxation,135
glocalities,135
tackle,134
nationalist,134
talks,134
imposed,134
meetings,134
banking,134
irish,134
resulted,134
collapse,134
sets,134
sensitive,134
roots,134
terrorism,133
guarantees,133
arms,133
won,133
multilateral,133
hostile,133
willing,133
try,133
fit,133
fertility,133
ments,133
choices,133
cities,133
historically,133
transparent,132
consequence,132
intended,132
approved,132
combination,132
joined,132
product,132
consequently,132
rely,131
tackling,131
appeal,131
aspect,131
euractiv,131
systemic,131
preferences,131
track,131
useful,131
grants,131
felt,131
researchers,131
sphere,131
parents,131
experiences,131
tak,131
poverty,130
emerged,130
man,130
car,130
fighting,129
appear,129
visit,129
worth,129
formed,129
obligations,129
imf,129
committed,129
transformative,129
enter,128
urgent,128
pragmatic,128
opposed,128
prominent,128
considerable,128
spring,128
push,128
characterised,128
mitigate,128
demonstrated,128
upper,128
herzegovina,128
ttc,128
interference,128
argued,127
reported,127
reforming,127
des,127
reaction,127
jean,127
availability,127
played,127
weak,127
regardless,127
moral,127
faces,126
inequality,126
grounds,126
somewhat,126
absence,126
proper,126
sized,126
hungarians,126
trying,126
tive,125
coherent,125
raised,125
goes,125
shifts,125
posed,125
donald,125
panel,125
introducing,125
accepted,125
boosting,125
driving,125
twentieth,124
martenscentre,124
follows,124
evaluation,124
quarter,124
controls,124
shortage,124
belarusians,124
grow,124
inequalities,123
let,123
exposed,123
moving,123
depopulation,123
considerations,123
polity,123
nebo,123
intervention,122
illegal,122
seeking,122
articles,122
reaching,122
michael,122
separate,122
female,122
team,122
importantly,122
paradigm,122
battery,122
turning,121
perceptions,121
sought,121
receiving,121
extensive,121
architecture,121
schools,121
child,121
wants,121
raising,121
extra,121
decrease,121
involving,120
remarks,120
willingness,120
fewer,120
officials,120
economist,120
bloc,120
reliable,120
draft,120
matthes,120
argument,120
enhanced,120
insufficient,120
mind,120
decided,120
obvious,120
storage,120
initially,120
highlight,120
realities,120
programs,120
severe,119
accept,119
unlike,119
warfare,119
targeting,119
mff,119
video,119
simple,119
powerful,119
languages,119
spanish,118
variety,118
sion,118
ity,118
seriously,118
date,118
elites,118
physical,118
hardly,118
reflects,118
interested,118
manner,118
phase,118
dimitar,118
drive,118
indicates,118
visa,118
playing,118
sectoral,118
functions,118
conventional,118
presidential,118
correct,118
expect,118
publicly,118
determined,118
mineral,118
feature,117
links,117
placed,117
suggest,117
intensive,117
analyse,117
heritage,117
humanitarian,117
skill,117
indicator,117
payment,117
advantages,117
safe,117
rhetoric,117
nsk,117
socialist,116
cal,116
argue,116
deepen,116
asked,116
widespread,116
acts,116
sound,116
estimated,116
mobile,116
finnish,116
operate,116
constant,116
budgetary,115
preserve,115
showed,115
assessing,115
versus,115
vast,115
reliance,115
easily,115
momentum,115
features,115
dealing,115
game,114
federation,114
explore,114
fast,114
offered,114
lowest,114
dangerous,114
ownership,114
lang,114
legislature,114
prague,114
fourth,114
employers,114
soft,114
wto,114
jak,114
doubt,113
shifting,113
macmillan,113
proved,113
damage,113
unlikely,113
claim,113
vulnerabilities,113
bringing,113
interview,113
truly,113
affiliated,113
residents,113
reinforcing,113
moderate,113
conceptual,113
wealth,113
transylvania,113
answers,112
completed,112
depend,112
neighbours,112
navigating,112
adaptation,112
easier,112
struggle,112
schemes,112
approximately,112
tasks,112
relationships,112
round,112
secularisation,112
lng,112
earlier,111
prepared,111
defending,111
viable,111
limiting,111
swedish,111
danger,111
happen,111
assembly,111
prof,111
software,111
encouraging,111
researcher,111
connection,111
reserve,111
tries,110
indicate,110
aligned,110
empirical,110
really,110
johnson,110
alliances,110
doctrine,110
highlights,110
served,110
worse,110
instability,110
coercion,110
winter,109
prove,109
grand,109
identifying,109
novotn,109
transmission,109
reflected,109
determine,109
allocated,109
eib,109
orientation,109
shocks,108
overcoming,108
protocol,108
renewables,108
realistic,108
founding,108
version,108
policymaking,108
pillars,108
replace,108
kas,108
output,108
serves,108
contracts,108
approval,108
notion,108
trans,108
worldwide,107
victory,107
albeit,107
founded,107
facilities,107
contributes,107
limitations,107
startups,107
monitor,107
cjeu,107
visiting,107
gives,106
euros,106
cut,106
scholars,106
entirely,106
poses,106
opposite,106
macroeconomic,106
aware,106
jan,106
uses,106
pluralism,106
nomic,106
australia,106
oriented,106
organisational,106
traditionally,106
shall,106
protests,106
montenegro,106
differ,105
disparities,105
fuel,105
arguments,105
receives,105
seeks,105
necessity,105
ngeu,105
weber,105
seekers,105
syrian,105
getting,105
productive,105
seats,105
thing,105
sales,105
decisive,104
finances,104
don,104
books,104
consistently,104
decide,104
default,104
suppliers,104
govern,104
newly,104
notable,104
polarisation,104
sdgs,104
connectivity,104
title,104
transportation,104
players,104
faculty,104
plays,104
responsibilities,104
preparedness,104
traditions,104
acceptance,104
territorial,104
incomes,103
insecurity,103
budgets,103
interesting,103
underlying,103
adjustment,103
involves,103
meant,103
hit,103
steven,103
umbrella,103
bridge,103
kingdom,103
flow,103
refers,103
identification,103
lithium,103
evropsk,103
probably,102
affecting,102
engaged,102
asian,102
korea,102
brings,102
amending,102
greek,102
participating,102
advance,102
losses,102
assessments,102
fragmented,102
ale,102
makers,101
csdp,101
institution,101
ammunition,101
units,101
survival,101
balanced,101
borrowing,101
draw,101
excellence,101
periods,101
gradual,101
stem,101
proactive,101
protected,101
mixed,101
interpretation,101
gains,100
kyiv,100
steel,100
arctic,100
recognise,100
replaced,100
explicitly,100
remaining,100
aiming,100
treatment,100
essentially,100
unified,100
princeton,100
jsou,100
room,99
precisely,99
requirement,99
financed,99
gained,99
shares,99
res,99
shrinking,99
database,99
user,99
tactical,99
governing,98
par,98
map,98
holding,98
divisions,98
reinforce,98
native,98
sex,98
entrepreneurship,98
crms,98
nost,98
crime,97
upcoming,97
channels,97
raises,97
confirmed,97
quo,97
helping,97
informed,97
extremely,97
contract,97
engaging,97
false,97
chair,97
professionals,97
maritime,97
vehicle,97
freedoms,97
obligation,97
broadcasting,97
elite,97
amsterdam,97
wages,96
chamber,96
fundamentally,96
ended,96
proven,96
sites,96
deeper,96
bruegel,96
daily,96
coun,96
edn,96
employees,96
port,96
inside,96
lists,96
coalitions,96
bbb,96
drug,96
zem,96
jejich,96
intergenerational,95
ages,95
scientists,95
guardian,95
withdrawal,95
electorate,95
admitted,95
sections,95
cleantech,95
merely,95
ensures,95
delivery,95
muslim,95
city,95
centrist,95
greens,95
nosti,95
buy,94
drivers,94
complicated,94
regulating,94
falling,94
sure,94
problematic,94
tried,94
excessive,94
vienna,94
update,94
completely,94
blue,94
refer,94
grown,94
identities,94
grid,94
substantially,93
criminal,93
acting,93
beneficial,93
healthcare,93
moved,93
supports,93
accompanied,93
visibility,92
bulletin,92
dzurinda,92
modernisation,92
army,92
discuss,92
accounts,92
deutsche,92
ruling,92
depending,92
chance,92
solid,92
sciences,92
mediterranean,92
batteries,92
trillion,92
liberals,92
arab,92
populists,92
secular,92
sum,91
theoretical,91
aspirations,91
constructive,91
weaknesses,91
genuine,91
criticism,91
went,91
lose,91
bound,91
unable,91
loan,91
challenged,91
applying,91
spent,91
guide,91
ideologies,91
briefing,91
