filename,Top 20 Words
the-future-of-transatlantic-relations_gregan-2025-maximalist-or-minimalist-assessing-the-impact-of-michael-d-higgins-on-the-office-of-president-of-ireland.pdf,"president (48), higgins (36), irish (32), ireland (31), government (14), maximalist (12), presidency (11), power (11), constitutional (10), minimalist (8), michael (7), gregan (7), coakley (7), rafter (7), ireann (7), powers (7), letter (7), party (6), executive (6), interventions (6)"
navigating-through-renewed-economic-uncertainty_2.pdf,"economic (40), integration (38), economy (26), market (20), war (17), social (14), crisis (12), commission (11), hardship (10), hecke (8), cunj (7), peace (7), leuven (6), leyen (6), governance (5), green (5), germany (5), eco (5), nomic (5), emu (5)"
the-future-of-transatlantic-relations_Make-the-West-Great-Again-1.pdf,"populist (43), parties (35), west (32), israel (29), foreign (24), ukraine (23), western (21), war (18), chryssogelos (17), international (17), russia (15), global (15), geopolitical (13), austria (12), london (11), support (11), ideological (9), russian (9), values (9), globalisation (9)"
international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,"latin (68), america (63), mercosur (58), climate (56), cooperation (53), youth (45), lac (45), young (42), energy (40), social (36), trade (35), negotiations (34), democracy (29), commission (29), global (29), economic (28), parliament (25), chile (25), caribbean (23), china (21)"
why-we-still-need-parties-the-resilience-of-europes-political-parties-explained__Why-We-Still-Need-Parties.pdf,"parties (1362), party (753), resilience (248), elections (210), social (158), democratic (154), government (143), politics (125), democracy (113), national (111), election (107), opposition (107), coalition (104), parliament (94), traditional (94), electoral (87), voters (82), economic (79), crisis (77), power (67)"
did-secularisation-kill-god-changes-in-religiosity-and-values-among-natives-and-migrants-in-europe__Did-Secularisation-Kill-God.pdf,"religious (236), religiosity (193), values (149), immigrants (110), religion (100), population (95), migration (93), secularisation (83), muslim (79), muslims (72), secular (71), wave (67), social (56), non (53), foreign (50), born (49), ukraine (48), migrants (46), western (46), wvs (45)"
the-future-of-nato-demise-reform-or-rebirth__The-Future-of-NATO.pdf,"nato (168), defence (130), ukraine (63), security (48), russia (44), military (34), strategic (33), capabilities (31), nuclear (26), trump (24), deterrence (24), support (24), alliance (23), allies (20), scenario (19), planning (19), withdrawal (16), germany (16), peace (15), putin (14)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_1.pdf,"sustainability (5), monnet (4), sustainable (3), mikul (3), dzurinda (3), crisis (3), democracy (3), seven (3), programmes (3), commons (2), strategies (2), confronted (2), covid (2), global (2), climate (2), brussels (2), hefele (2), welle (2), practical (2), hope (2)"
ukraine-as-a-locus-of-identity-why-history-and-culture-matter__Martens-Centre-In-Focus.pdf,"ukraine (63), identity (47), russian (41), russia (39), war (34), ukrainian (32), putin (24), nationalism (22), national (19), historical (15), invasion (13), president (12), ukrainians (12), russians (12), zelenskyy (12), values (12), argues (11), nation (11), soviet (11), speech (11)"
explaining-the-rise-of-the-radical-right-in-europe__Martens-Centre-Policy-Brief.pdf,"radical (165), parties (153), party (76), rrps (76), mainstream (51), populist (39), politics (33), immigration (30), economic (28), rrp (27), university (25), voters (24), cambridge (24), western (23), electoral (22), ideology (22), oxford (22), west (21), rise (20), support (20)"
navigating-through-renewed-economic-uncertainty_1.pdf,"economic (11), ukraine (5), caused (5), energy (5), dzurinda (4), minister (4), events (4), crisis (4), russia (4), war (4), mikul (3), prices (3), hydrocarbon (3), exports (3), commons (2), non (2), commercial (2), challenging (2), global (2), spring (2)"
how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda__Democracy-and-Populism-In-Brief.pdf,"immigration (19), parties (15), democracy (14), mainstream (12), party (10), election (7), populist (6), government (6), defend (5), copy (5), national (5), liberal (5), adopting (4), parts (4), traditional (4), voters (4), formula (4), immigrants (4), democratic (4), xenophobic (4)"
navigating-through-renewed-economic-uncertainty_5.pdf,"market (51), energy (47), gas (39), price (33), electricity (21), supply (17), prices (17), crisis (13), natural (13), commission (11), russian (10), russia (9), power (9), supplies (8), jiru (7), invasion (7), functioning (7), nuclear (7), logic (7), pipeline (7)"
navigating-demographic-dynamics-strategies-for-tomorrow_9.pdf,"rural (59), farmers (36), farm (28), economic (20), agricultural (18), food (18), agriculture (14), urban (13), young (13), income (13), economy (12), farming (12), depopulation (11), hennessy (10), gap (10), support (9), population (9), generational (8), incomes (8), farms (8)"
re-new-eu-recovery-reopening-and-revival__Renew-EU-Recovery-Reopening-and-Revival.pdf,"commission (219), enlargement (174), economic (174), energy (174), support (151), national (148), bulgaria (145), integration (137), security (131), ukraine (127), rural (109), international (108), council (108), development (107), citizens (104), non (103), crisis (98), western (97), university (96), online (96)"
the-future-of-transatlantic-relations_Make-the-West-Great-Again.pdf,"populist (43), parties (35), west (32), israel (29), foreign (24), ukraine (23), western (21), war (18), chryssogelos (17), international (17), russia (15), global (15), geopolitical (13), austria (12), london (11), support (11), ideological (9), russian (9), values (9), globalisation (9)"
activity-report-2024__AR-2024.pdf,"senior (41), officer (37), epp (33), president (31), security (29), event (28), global (25), media (25), economic (24), moderator (24), brussels (22), director (22), cooperation (21), panel (20), edited (19), kas (19), forum (18), foundation (18), experts (18), speakers (18)"
from-bad-to-worse-the-continuing-effects-of-sanctions-on-russia__From-Bad-to-Worse.pdf,"russian (117), russia (93), oil (73), sanctions (45), economic (41), china (38), government (37), gas (31), budget (30), price (27), industries (26), economy (26), trade (24), investment (23), bank (22), western (21), asian (21), market (19), deficit (19), exports (18)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_5.pdf,"recovery (29), economic (25), fund (25), financial (20), debt (15), sustainability (14), investment (13), drea (12), spending (12), fiscal (11), borrowing (11), commission (11), brussels (10), budget (10), pragmatic (9), stability (9), budgetary (9), market (9), national (9), pillar (8)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_4.pdf,"digital (79), market (22), tech (19), global (17), commission (16), data (14), companies (12), lilkov (11), brussels (10), competitiveness (10), infrastructure (10), online (10), cyber (9), international (9), technological (8), regulation (8), services (7), national (7), resilience (7), competition (7)"
navigating-demographic-dynamics-strategies-for-tomorrow_8.pdf,"women (94), gender (49), refugees (25), migration (22), migrants (22), integration (21), peace (18), migrant (15), equality (14), female (12), economic (12), social (11), council (11), labour (10), market (10), security (10), asylum (9), refugee (9), targeted (8), teodorescu (8)"
enhancing-election-integrity-by-strengthening-eu-defences-against-disinformation__Elections-Integrity-Policy-Brief.pdf,"disinformation (142), platforms (58), digital (57), dsa (55), elections (31), media (29), services (21), code (20), online (18), social (18), campaigns (18), enforcement (18), global (16), engagement (15), spread (15), regulatory (15), regulation (14), efcsn (13), economic (12), democratic (12)"
navigating-through-renewed-economic-uncertainty_4.pdf,"energy (39), gas (23), lng (22), authoritarian (20), russia (19), china (15), offshore (14), natural (13), dependence (12), production (12), lithium (11), green (10), supply (10), milov (9), development (9), global (9), russian (8), supplies (8), democratic (8), imports (7)"
navigating-through-renewed-economic-uncertainty_6.pdf,"inflation (72), supply (35), monetary (28), prices (22), pandemic (21), money (21), war (21), expansionary (19), higher (18), economic (18), ecb (18), energy (16), economy (16), contractionary (13), price (13), federal (12), bank (11), andersson (11), target (10), reserve (10)"
attitudes-towards-the-eu-among-the-transylvanian-hungarians__ces2023_report_eng_autumn.pdf,"hungarians (120), transylvania (113), percent (111), romania (62), hungary (41), population (34), trust (32), direction (30), minority (30), eurobarometer (26), economic (25), war (22), proportion (22), accession (21), hungarian (21), ukraine (20), attitudes (18), attitude (15), national (15), romanian (14)"
chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,"chinese (235), china (139), evs (115), market (102), automotive (74), data (73), companies (62), technology (58), producers (52), tariffs (48), security (43), trade (38), byd (35), transfer (34), risks (30), foreign (28), battery (27), government (26), automakers (23), commission (23)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,"china (73), risking (17), commission (16), global (16), economic (14), relations (12), foreign (12), strategy (10), chinese (10), trade (9), leino (8), engagement (8), com (7), leyen (7), instruments (7), supply (7), council (7), developing (7), narrative (7), companies (7)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf,"population (34), rates (24), labour (23), fertility (23), demographic (19), immigration (19), employment (14), women (13), non (13), migration (13), ageing (12), rate (10), pension (9), commission (8), reforms (8), novotn (7), welfare (7), children (7), economic (7), immigrants (7)"
the-future-of-transatlantic-relations_Lete.pdf,"ukraine (49), russia (39), china (33), military (19), peace (19), security (18), defence (18), nato (17), war (13), russian (13), president (13), conflict (11), moscow (11), beijing (11), rubio (10), global (8), sanctions (8), ukrainian (8), ceasefire (8), american (8)"
a-better-deal-for-climate-and-european-competitiveness-policy-proposals-for-the-european-centre-right__A-Better-Deal-for-Climate-and-European-Competitiveness.pdf,"energy (104), climate (75), renewable (36), clean (26), investment (21), decarbonisation (20), green (20), wind (19), china (18), solar (17), spending (15), commission (15), mff (14), global (14), gas (14), electricity (13), competitiveness (12), costs (12), renewables (12), financial (11)"
navigating-through-renewed-economic-uncertainty_7.pdf,"monetary (64), ecb (46), economic (39), price (35), stability (34), bank (24), money (22), cjeu (22), economy (18), inflation (15), legal (14), fcc (14), monetarist (13), distributional (12), monetarism (12), weiss (11), fiscal (10), indirect (10), eurozone (9), distributive (9)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_18.pdf,"writers (6), human (6), hollywood (5), digital (5), bonnici (4), julian (3), creativity (3), battle (3), storytelling (3), experience (3), home (2), commons (2), brussels (2), belgium (2), pens (2), processors (2), strike (2), twist (2), showdown (2), production (2)"
navigating-demographic-dynamics-strategies-for-tomorrow_European-View-Spring-2024.pdf,"population (161), social (122), labour (112), women (100), economic (100), commission (99), migration (90), demographic (85), ageing (79), rights (79), migrants (74), enlargement (71), gender (66), climate (65), human (65), workers (63), rural (61), western (59), values (59), skills (59)"
the-future-of-transatlantic-relations_novotny-2025-migrant-repatriations-as-a-transatlantic-challenge-some-legal-methodological-and-democratic-considerations.pdf,"immigration (31), repatriations (21), legal (19), illegally (19), migration (19), deportation (17), repatriation (16), council (14), immigrants (13), staying (12), person (12), population (11), rates (10), national (10), parliament (10), illegal (10), commission (10), trump (10), center (10), nationals (9)"
reforming-economic-and-monetary-union-balancing-spending-and-public-debt-sustainability__Reforming-Economic-and-Monetary-Union-Policy-Brief.pdf,"debt (113), fiscal (97), commission (49), gdp (46), reform (43), ratio (41), rate (41), primary (37), economic (36), baseline (33), proposal (30), scenario (29), scenarios (27), rates (27), sustainability (22), plans (22), sgp (20), crisis (20), structural (20), surplus (20)"
the-7ds-de-risking-globalisation-in-depth__Derisking-Globalisation.pdf,"trade (38), global (33), economic (29), risking (26), globalisation (26), sustainability (24), china (22), smes (21), security (15), commission (12), strategic (12), transatlantic (11), relations (11), market (10), digitalisation (10), companies (9), asia (8), foreign (8), digital (8), technologies (8)"
relations-between-the-eu-and-switzerland-too-much-to-lose-too-little-to-negotiate__Martens-Centre-Policy-Brief.pdf,"switzerland (77), swiss (75), agreements (25), bilateral (25), relations (24), market (19), trade (14), ifa (12), government (12), brexit (10), spp (10), parties (9), packages (9), party (9), negotiations (9), legal (8), eea (8), movement (8), law (8), referendum (7)"
the-7ds-demography-extended__Demography.pdf,"labour (132), women (118), education (105), gender (84), population (78), young (71), care (64), employment (63), sustainability (60), market (53), migration (53), demography (51), demographic (51), training (50), social (50), health (48), commission (46), children (45), skills (45), migrants (44)"
the-7ds-digitalisation-extended__Digitalisation.pdf,"digital (187), market (110), global (80), technology (68), cybersecurity (68), commission (66), sustainability (65), data (65), innovation (64), regulation (52), security (51), technological (47), investment (46), technologies (46), capital (44), companies (44), international (43), council (40), digitalisation (38), trade (38)"
the-7ds-debt-extended__Debt.pdf,"financial (127), debt (121), economic (113), sustainability (92), national (91), fiscal (85), budget (79), crisis (64), social (62), market (57), commission (55), spending (52), stability (45), governance (39), ecb (35), crises (34), resources (33), monetary (33), esm (32), reform (28)"
freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf,"defence (123), investment (44), budget (34), russia (28), gdp (27), equipment (23), expenditure (23), item (17), spending (14), mff (13), russian (12), support (11), eda (11), ukraine (11), strategic (11), budgets (10), fund (10), industrial (9), security (9), technological (8)"
the-7ds-decarbonisation-extended__Decarbonisation.pdf,"energy (207), climate (129), global (114), supply (106), decarbonisation (100), sustainability (97), technologies (82), china (82), market (79), industrial (78), green (75), clean (70), security (65), economic (62), carbon (61), financial (61), investment (57), chains (55), industry (52), international (52)"
christian-democracy-conservatism-and-the-challenge-of-the-extremes__Christian-Democracy-Conservatism-and-the-Challenge-of-the-Extremes.pdf,"christian (758), democracy (421), party (335), parties (307), democratic (303), social (275), epp (250), conservatism (232), politics (189), conservative (189), national (164), democrats (148), liberal (144), war (138), conservatives (122), values (121), integration (104), economic (104), society (100), populism (96)"
resilience-unveiled-shaping-the-future-of-central-europe__Resilience-Unveiled-Shaping-the-Future-of-Central-Europe.pdf,"czech (221), czechia (144), disinformation (133), women (124), democratic (95), german (81), party (80), government (72), migration (70), politics (65), democracy (63), ukraine (61), relations (60), parties (57), support (55), social (54), cooperation (52), germany (51), economic (50), strategic (49)"
overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf,"industrial (69), ukraine (38), economic (22), strategic (19), defence (17), reconstruction (16), aid (15), geopolitical (14), security (12), energy (12), market (12), rodrik (12), interventions (11), industry (11), commission (11), strategy (11), national (9), economy (8), government (8), resilience (8)"
the-7ds-democracy-extended__Democracy.pdf,"commission (168), council (165), parliament (135), national (130), subsidiarity (103), parties (84), law (71), democracy (69), enlargement (68), sustainability (67), accession (67), governance (60), reforms (54), president (54), defence (54), legislative (53), democratic (47), elections (47), decision (44), treaties (41)"
challenges-of-belarusian-migration-in-the-eu__KA_book_2023_EN.pdf,"lithuania (129), belarusians (119), poland (88), residence (81), discrimination (77), belarusian (63), belarus (62), permit (61), temporary (48), protection (47), citizens (37), humanitarian (36), documents (35), grounds (35), rights (34), law (34), republic (32), international (31), national (26), obtaining (26)"
youth-of-the-epp-25-years-on-the-right-side-of-history__YEPP-25-Years-Publication.pdf,"yepp (310), epp (141), youth (111), congress (64), young (57), council (48), president (46), resolution (46), organisations (39), demyc (39), board (37), organisation (33), meeting (33), eycd (31), campaign (26), elected (25), christian (24), economic (24), democratic (23), support (22)"
overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_9.pdf,"russia (30), defence (26), ukraine (23), strategic (22), russian (18), war (14), culture (13), france (12), support (12), walshe (11), supply (10), security (10), germany (9), german (9), italian (9), macron (8), beowulf (7), aggression (7), poland (7), western (7)"
the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,"china (98), alliance (26), competition (24), strategic (24), abandonment (22), strategy (21), dilemma (20), entrapment (18), transatlantic (17), germany (17), security (17), government (16), france (15), international (15), trump (14), washington (13), nato (13), strategies (13), foreign (12), weber (11)"
transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,"trade (117), technology (72), ttc (70), transatlantic (63), council (48), tech (43), summit (42), digital (32), rivals (28), commission (28), washington (24), leaders (24), china (23), business (21), brussels (18), sides (18), officials (18), green (17), president (17), center (16)"
financing-politics-in-europe-a-political-party-roadmap-for-more-transparency-and-effectiveness__Financing-Politics-in-Europe.pdf,"parties (332), party (219), financing (206), politics (132), funding (129), finance (116), campaign (112), foreign (80), fundraising (77), foundations (74), donations (63), parliament (58), national (58), oversight (57), transparency (54), subsidies (54), elections (49), election (48), support (48), corruption (47)"
middle-class-concerns-and-european-challenges-a-data-driven-study-from-a-centre-right-perspective__Middle-Class-Concerns-and-European-Challenges.pdf,"citizens (129), classes (99), social (98), glocalities (85), values (83), upper (74), trust (68), data (67), economic (63), society (54), percentage (49), indicates (44), income (42), living (41), agree (39), ukraine (36), war (34), security (34), posed (34), ladder (33)"
evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf,"china (59), capabilities (23), technologies (21), data (15), military (14), ambitions (13), global (11), satellite (11), chinese (10), companies (10), commercial (10), risks (10), strategic (9), infrastructure (9), security (7), industry (7), governance (7), evaluating (6), beijing (6), technology (6)"
security-and-defence-days-conference-proceedings__SDD-2022.pdf,"nato (119), security (99), defence (92), alliance (48), ukraine (41), strategic (37), war (28), russia (28), days (27), gasperi (27), atlantic (25), italy (24), foreign (22), summit (21), president (18), technology (18), military (18), conflict (17), madrid (16), foundation (14)"
breaking-free-europes-path-to-greater-financial-autonomy__Martens-Centre-Policy-Brief.pdf,"financial (86), banks (46), security (35), economic (32), foreign (30), dollar (27), iran (21), autonomy (20), private (20), finance (19), money (19), strategic (19), sanctions (18), national (18), market (17), legal (15), bank (15), trump (14), compliance (14), trade (14)"
up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf,"inflation (62), higher (35), rates (28), price (24), economic (18), prices (17), increases (12), costs (12), wage (11), losses (10), debt (9), power (9), danger (8), tax (8), labour (8), wealth (8), rise (7), government (7), infl (6), fiscal (6)"
ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,"japan (109), security (85), cooperation (28), china (25), tokyo (25), partnership (22), strategic (22), economic (16), summit (15), defence (14), strategy (13), asia (12), brussels (12), dialogue (11), pacific (11), japanese (11), values (11), global (11), ukraine (11), chinese (10)"
the-future-of-transatlantic-relations_walshe-2025-a-european-way-of-war-towards-doctrine-to-defend-against-russia-without-the-us.pdf,"russia (64), military (36), war (35), ukraine (27), russian (27), air (22), coalition (19), artillery (16), defence (15), equipment (14), enemy (14), nato (13), fight (13), men (13), deter (12), intelligence (12), capability (11), ammunition (11), battle (11), tanks (11)"
the-7ds-extended__The-7Ds-Extended.pdf,"defence (740), commission (493), sustainability (473), security (405), economic (398), global (346), market (344), council (327), national (326), military (286), financial (259), energy (253), nuclear (243), parliament (241), trade (232), strategic (230), digital (216), support (214), development (211), china (209)"
the-future-of-transatlantic-relations_brzuszkiewicz-2025-a-two-way-path-state-driven-and-bottom-up-social-change-in-contemporary-arab-gulf-monarchies.pdf,"gulf (70), social (37), arab (35), women (32), gender (24), saudi (22), vision (21), cultural (19), arabia (17), national (16), uae (15), economic (14), rights (13), driven (11), monarchies (11), societies (11), identity (11), education (10), brzuszkiewicz (9), university (9)"
hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf,"trade (81), japan (49), korea (42), economic (38), south (38), trading (35), brussels (27), china (24), security (21), washington (20), agreements (20), tokyo (17), seoul (13), wto (13), global (13), transatlantic (12), economies (12), sectoral (12), geopolitical (11), partnerships (11)"
eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf,"taiwan (207), china (93), cooperation (32), beijing (29), security (26), relations (23), strategic (23), global (21), trade (20), economic (19), bilateral (17), island (17), strait (15), democracy (15), foreign (15), digital (15), ties (13), parliament (13), russia (13), international (12)"
mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf,"industrial (16), economic (11), trade (11), market (9), ira (8), investment (8), competitive (5), industry (5), global (5), deliver (4), competitiveness (4), jobs (4), support (4), debt (4), sovereignty (4), fund (4), green (3), strategy (3), legislation (3), transatlantic (3)"
the-power-of-opacity-eu-responses-to-weaponised-migration__CES_POLICY-BRIEF_Power-of-Opacity-WEB.pdf,"migration (100), council (59), border (42), adversary (32), regulation (32), borders (28), parliament (23), hostile (22), greenhill (20), instrumentalisation (19), migrants (18), persons (17), proposal (16), mass (15), law (15), legal (15), territory (15), commission (14), rights (14), situations (13)"
cross-border-movements-compared-migration-from-and-to-ukraine-in-historical-comparison-with-other-conflict-induced-situations__Cross-Border-Migration-In-Brief.pdf,"ukraine (49), border (31), refugees (26), conflict (21), migration (19), crossings (19), india (17), numbers (15), pakistan (14), unhcr (14), movements (13), comparison (12), situations (12), induced (11), russia (10), created (9), data (9), historical (8), flight (8), registered (8)"
the-future-of-transatlantic-relations_Welle.pdf,"parties (20), party (19), migration (16), defence (16), parliament (15), welle (12), russia (12), populist (12), trump (10), national (10), social (10), china (10), traditional (9), commission (9), integration (8), ukraine (7), competition (7), income (7), greens (7), revolt (6)"
proposal-for-the-european-commission-white-paper-on-the-future-of-european-defence__Proposal-EU-Defence.pdf,"defence (110), military (29), mobility (21), innovation (18), investment (16), nato (15), security (14), capability (11), cooperation (11), production (10), financing (10), spending (10), commission (9), strategic (9), darpa (9), capabilities (8), gaps (8), ukraine (8), industrial (7), private (7)"
navigating-demographic-dynamics-strategies-for-tomorrow__European-View-Spring-2024.pdf,"population (161), social (122), labour (112), women (100), economic (100), commission (99), migration (90), demographic (85), ageing (79), rights (79), migrants (74), enlargement (71), gender (66), climate (65), human (65), workers (63), rural (61), western (59), values (59), skills (59)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_11.pdf,"energy (89), technologies (42), digital (41), climate (34), green (31), data (30), tech (29), ict (27), emissions (25), innovation (24), carbon (23), sustainability (20), commission (19), clean (17), efficiency (17), deep (17), technology (16), iea (16), zero (16), footprint (13)"
navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf,"economic (216), energy (213), ukraine (139), war (132), inflation (119), market (117), security (109), russia (101), monetary (101), integration (93), economy (93), commission (93), price (91), crisis (85), western (82), supply (80), germany (76), prices (71), gas (70), com (68)"
navigating-demographic-dynamics-strategies-for-tomorrow_10.pdf,"brain (46), drain (46), commission (39), western (23), balkans (17), migration (12), croatia (11), enlargement (11), candidate (10), skilled (10), emigration (10), leuven (8), accession (8), balkan (8), skills (8), jansen (7), paid (7), workers (6), national (6), com (5)"
the-7ds-decarbonisation-in-depth__Decarbonisation.pdf,"energy (38), climate (37), decarbonisation (35), sustainability (29), supply (21), security (18), green (17), technologies (17), smes (17), carbon (16), companies (16), global (14), trade (14), financing (13), development (13), financial (12), market (12), international (11), economic (11), sustainable (10)"
the-7ds-in-depth__7Ds-In-Depth.pdf,"defence (219), sustainability (156), national (135), security (128), economic (112), market (104), global (94), financial (85), military (83), digital (80), commission (72), energy (69), strategic (68), support (65), council (64), trade (64), development (61), debt (60), international (57), technologies (52)"
the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf,"transatlantic (7), security (7), global (6), relations (4), dzurinda (4), strategic (4), ukraine (4), mikul (3), defence (3), realism (3), nations (3), minister (3), commons (2), brussels (2), belgium (2), stand (2), demands (2), shifting (2), priorities (2), avoid (2)"
the-athens-effect-5-reasons-why-france-and-the-eu-should-go-greek-on-debt__Martens-Centre-In-Brief.pdf,"debt (37), france (25), economic (17), greece (15), greek (14), crisis (13), gdp (9), french (9), structural (6), financial (6), spending (6), currency (5), reduction (5), budget (5), government (5), credibility (5), strategy (5), reform (5), fiscal (5), continuity (5)"
overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_2.pdf,"periphery (35), juri (27), social (20), rural (17), emigration (16), croatia (14), migration (14), corruption (14), economic (13), population (12), peripheral (11), young (9), movement (9), education (8), workers (8), depopulation (8), demographic (8), nuts (8), zagreb (7), peripheries (7)"
intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf,"strategic (58), autonomy (46), western (44), enlargement (38), balkans (31), defence (22), relations (18), security (18), serbia (18), trump (16), ukraine (16), balkan (15), nato (15), integration (14), paths (13), intersecting (12), matteo (12), bonomi (12), geopolitical (12), russia (12)"
