paper_id,filename,theme
15,navigating-through-renewed-economic-uncertainty_2.pdf,Populism and Extremism
15,navigating-through-renewed-economic-uncertainty_2.pdf,Industrial and Economic Policy
15,navigating-through-renewed-economic-uncertainty_2.pdf,Social Protection and Housing
15,navigating-through-renewed-economic-uncertainty_2.pdf,Transatlantic Relations
16,the-future-of-transatlantic-relations_Make-the-West-Great-Again-1.pdf,Populism and Extremism
16,the-future-of-transatlantic-relations_Make-the-West-Great-Again-1.pdf,Russia and Ukraine
16,the-future-of-transatlantic-relations_Make-the-West-Great-Again-1.pdf,Transatlantic Relations
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,Asia and Indo-Pacific
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,China
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,EU Enlargement
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,Latin America and the Caribbean
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,Trade
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf,Transatlantic Relations
18,why-we-still-need-parties-the-resilience-of-europes-political-parties-explained__Why-We-Still-Need-Parties.pdf,Elections and Parties
18,why-we-still-need-parties-the-resilience-of-europes-political-parties-explained__Why-We-Still-Need-Parties.pdf,European Identity and Values
18,why-we-still-need-parties-the-resilience-of-europes-political-parties-explained__Why-We-Still-Need-Parties.pdf,Populism and Extremism
19,did-secularisation-kill-god-changes-in-religiosity-and-values-among-natives-and-migrants-in-europe__Did-Secularisation-Kill-God.pdf,European Identity and Values
19,did-secularisation-kill-god-changes-in-religiosity-and-values-among-natives-and-migrants-in-europe__Did-Secularisation-Kill-God.pdf,Populism and Extremism
19,did-secularisation-kill-god-changes-in-religiosity-and-values-among-natives-and-migrants-in-europe__Did-Secularisation-Kill-God.pdf,Migration
20,the-future-of-nato-demise-reform-or-rebirth__The-Future-of-NATO.pdf,EU Enlargement
20,the-future-of-nato-demise-reform-or-rebirth__The-Future-of-NATO.pdf,Russia and Ukraine
20,the-future-of-nato-demise-reform-or-rebirth__The-Future-of-NATO.pdf,Defence and Military
20,the-future-of-nato-demise-reform-or-rebirth__The-Future-of-NATO.pdf,Transatlantic Relations
21,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_1.pdf,Climate and Environment
21,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_1.pdf,"Education, Research and Youth"
21,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_1.pdf,Social Protection and Housing
22,ukraine-as-a-locus-of-identity-why-history-and-culture-matter__Martens-Centre-In-Focus.pdf,Russia and Ukraine
22,ukraine-as-a-locus-of-identity-why-history-and-culture-matter__Martens-Centre-In-Focus.pdf,Transatlantic Relations
23,explaining-the-rise-of-the-radical-right-in-europe__Martens-Centre-Policy-Brief.pdf,European Identity and Values
23,explaining-the-rise-of-the-radical-right-in-europe__Martens-Centre-Policy-Brief.pdf,Populism and Extremism
24,navigating-through-renewed-economic-uncertainty_1.pdf,Populism and Extremism
24,navigating-through-renewed-economic-uncertainty_1.pdf,China
24,navigating-through-renewed-economic-uncertainty_1.pdf,Middle East and North Africa
24,navigating-through-renewed-economic-uncertainty_1.pdf,Russia and Ukraine
24,navigating-through-renewed-economic-uncertainty_1.pdf,Climate and Environment
24,navigating-through-renewed-economic-uncertainty_1.pdf,Industrial and Economic Policy
24,navigating-through-renewed-economic-uncertainty_1.pdf,Trade
24,navigating-through-renewed-economic-uncertainty_1.pdf,Transatlantic Relations
25,how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda__Democracy-and-Populism-In-Brief.pdf,Elections and Parties
25,how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda__Democracy-and-Populism-In-Brief.pdf,European Identity and Values
25,how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda__Democracy-and-Populism-In-Brief.pdf,Populism and Extremism
25,how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda__Democracy-and-Populism-In-Brief.pdf,Social Protection and Housing
26,navigating-through-renewed-economic-uncertainty_5.pdf,China
26,navigating-through-renewed-economic-uncertainty_5.pdf,Russia and Ukraine
26,navigating-through-renewed-economic-uncertainty_5.pdf,Energy
27,navigating-demographic-dynamics-strategies-for-tomorrow_9.pdf,Climate and Environment
27,navigating-demographic-dynamics-strategies-for-tomorrow_9.pdf,Industrial and Economic Policy
27,navigating-demographic-dynamics-strategies-for-tomorrow_9.pdf,Labour Market
27,navigating-demographic-dynamics-strategies-for-tomorrow_9.pdf,Social Protection and Housing
28,re-new-eu-recovery-reopening-and-revival__Renew-EU-Recovery-Reopening-and-Revival.pdf,EU Enlargement
28,re-new-eu-recovery-reopening-and-revival__Renew-EU-Recovery-Reopening-and-Revival.pdf,Social Protection and Housing
29,the-future-of-transatlantic-relations_Make-the-West-Great-Again.pdf,Populism and Extremism
29,the-future-of-transatlantic-relations_Make-the-West-Great-Again.pdf,Russia and Ukraine
29,the-future-of-transatlantic-relations_Make-the-West-Great-Again.pdf,Transatlantic Relations
30,activity-report-2024__AR-2024.pdf,China
30,activity-report-2024__AR-2024.pdf,EU Enlargement
30,activity-report-2024__AR-2024.pdf,Russia and Ukraine
30,activity-report-2024__AR-2024.pdf,Industrial and Economic Policy
30,activity-report-2024__AR-2024.pdf,Defence and Military
30,activity-report-2024__AR-2024.pdf,Transatlantic Relations
31,from-bad-to-worse-the-continuing-effects-of-sanctions-on-russia__From-Bad-to-Worse.pdf,Russia and Ukraine
32,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_5.pdf,Populism and Extremism
32,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_5.pdf,Climate and Environment
32,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_5.pdf,Industrial and Economic Policy
32,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_5.pdf,Social Protection and Housing
33,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_4.pdf,AI and Technology
33,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_4.pdf,Climate and Environment
33,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_4.pdf,Industrial and Economic Policy
34,navigating-demographic-dynamics-strategies-for-tomorrow_8.pdf,Labour Market
34,navigating-demographic-dynamics-strategies-for-tomorrow_8.pdf,Migration
34,navigating-demographic-dynamics-strategies-for-tomorrow_8.pdf,Social Protection and Housing
35,enhancing-election-integrity-by-strengthening-eu-defences-against-disinformation__Elections-Integrity-Policy-Brief.pdf,Elections and Parties
35,enhancing-election-integrity-by-strengthening-eu-defences-against-disinformation__Elections-Integrity-Policy-Brief.pdf,Disinformation and Cybersecurity
36,navigating-through-renewed-economic-uncertainty_4.pdf,Asia and Indo-Pacific
36,navigating-through-renewed-economic-uncertainty_4.pdf,China
36,navigating-through-renewed-economic-uncertainty_4.pdf,Russia and Ukraine
36,navigating-through-renewed-economic-uncertainty_4.pdf,South Caucasus and Central Asia
36,navigating-through-renewed-economic-uncertainty_4.pdf,Climate and Environment
36,navigating-through-renewed-economic-uncertainty_4.pdf,Energy
36,navigating-through-renewed-economic-uncertainty_4.pdf,Industrial and Economic Policy
36,navigating-through-renewed-economic-uncertainty_4.pdf,Infrastructure and Transport
36,navigating-through-renewed-economic-uncertainty_4.pdf,Trade
36,navigating-through-renewed-economic-uncertainty_4.pdf,Transatlantic Relations
37,navigating-through-renewed-economic-uncertainty_6.pdf,Industrial and Economic Policy
37,navigating-through-renewed-economic-uncertainty_6.pdf,Trade
38,attitudes-towards-the-eu-among-the-transylvanian-hungarians__ces2023_report_eng_autumn.pdf,EU Enlargement
38,attitudes-towards-the-eu-among-the-transylvanian-hungarians__ces2023_report_eng_autumn.pdf,Western Balkans
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,Asia and Indo-Pacific
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,China
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,Climate and Environment
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,Industrial and Economic Policy
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,Infrastructure and Transport
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,Trade
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf,Transatlantic Relations
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,Asia and Indo-Pacific
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,China
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,Climate and Environment
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,Industrial and Economic Policy
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,Trade
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf,Transatlantic Relations
41,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf,Climate and Environment
41,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf,"Education, Research and Youth"
41,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf,Demographics
41,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf,Labour Market
41,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf,Social Protection and Housing
42,the-future-of-transatlantic-relations_Lete.pdf,Asia and Indo-Pacific
42,the-future-of-transatlantic-relations_Lete.pdf,China
42,the-future-of-transatlantic-relations_Lete.pdf,EU Enlargement
42,the-future-of-transatlantic-relations_Lete.pdf,Middle East and North Africa
42,the-future-of-transatlantic-relations_Lete.pdf,Russia and Ukraine
42,the-future-of-transatlantic-relations_Lete.pdf,South Caucasus and Central Asia
42,the-future-of-transatlantic-relations_Lete.pdf,Defence and Military
42,the-future-of-transatlantic-relations_Lete.pdf,Transatlantic Relations
43,a-better-deal-for-climate-and-european-competitiveness-policy-proposals-for-the-european-centre-right__A-Better-Deal-for-Climate-and-European-Competitiveness.pdf,China
43,a-better-deal-for-climate-and-european-competitiveness-policy-proposals-for-the-european-centre-right__A-Better-Deal-for-Climate-and-European-Competitiveness.pdf,Climate and Environment
43,a-better-deal-for-climate-and-european-competitiveness-policy-proposals-for-the-european-centre-right__A-Better-Deal-for-Climate-and-European-Competitiveness.pdf,Energy
43,a-better-deal-for-climate-and-european-competitiveness-policy-proposals-for-the-european-centre-right__A-Better-Deal-for-Climate-and-European-Competitiveness.pdf,Industrial and Economic Policy
44,navigating-through-renewed-economic-uncertainty_7.pdf,Financial Stability
44,navigating-through-renewed-economic-uncertainty_7.pdf,Populism and Extremism
46,navigating-demographic-dynamics-strategies-for-tomorrow_European-View-Spring-2024.pdf,Demographics
47,the-future-of-transatlantic-relations_novotny-2025-migrant-repatriations-as-a-transatlantic-challenge-some-legal-methodological-and-democratic-considerations.pdf,Migration
47,the-future-of-transatlantic-relations_novotny-2025-migrant-repatriations-as-a-transatlantic-challenge-some-legal-methodological-and-democratic-considerations.pdf,Social Protection and Housing
48,reforming-economic-and-monetary-union-balancing-spending-and-public-debt-sustainability__Reforming-Economic-and-Monetary-Union-Policy-Brief.pdf,Financial Stability
48,reforming-economic-and-monetary-union-balancing-spending-and-public-debt-sustainability__Reforming-Economic-and-Monetary-Union-Policy-Brief.pdf,Climate and Environment
48,reforming-economic-and-monetary-union-balancing-spending-and-public-debt-sustainability__Reforming-Economic-and-Monetary-Union-Policy-Brief.pdf,Industrial and Economic Policy
49,the-7ds-de-risking-globalisation-in-depth__Derisking-Globalisation.pdf,Asia and Indo-Pacific
49,the-7ds-de-risking-globalisation-in-depth__Derisking-Globalisation.pdf,China
49,the-7ds-de-risking-globalisation-in-depth__Derisking-Globalisation.pdf,Climate and Environment
49,the-7ds-de-risking-globalisation-in-depth__Derisking-Globalisation.pdf,Industrial and Economic Policy
50,relations-between-the-eu-and-switzerland-too-much-to-lose-too-little-to-negotiate__Martens-Centre-Policy-Brief.pdf,EU Enlargement
50,relations-between-the-eu-and-switzerland-too-much-to-lose-too-little-to-negotiate__Martens-Centre-Policy-Brief.pdf,Trade
50,relations-between-the-eu-and-switzerland-too-much-to-lose-too-little-to-negotiate__Martens-Centre-Policy-Brief.pdf,Transatlantic Relations
51,the-7ds-demography-extended__Demography.pdf,Climate and Environment
51,the-7ds-demography-extended__Demography.pdf,"Education, Research and Youth"
51,the-7ds-demography-extended__Demography.pdf,Demographics
51,the-7ds-demography-extended__Demography.pdf,Labour Market
51,the-7ds-demography-extended__Demography.pdf,Social Protection and Housing
52,the-7ds-digitalisation-extended__Digitalisation.pdf,China
52,the-7ds-digitalisation-extended__Digitalisation.pdf,AI and Technology
52,the-7ds-digitalisation-extended__Digitalisation.pdf,Climate and Environment
52,the-7ds-digitalisation-extended__Digitalisation.pdf,"Education, Research and Youth"
52,the-7ds-digitalisation-extended__Digitalisation.pdf,Industrial and Economic Policy
52,the-7ds-digitalisation-extended__Digitalisation.pdf,Infrastructure and Transport
53,the-7ds-debt-extended__Debt.pdf,Climate and Environment
53,the-7ds-debt-extended__Debt.pdf,Industrial and Economic Policy
53,the-7ds-debt-extended__Debt.pdf,Social Protection and Housing
54,freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf,China
54,freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf,Russia and Ukraine
54,freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf,Trade
54,freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf,Defence and Military
54,freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf,Transatlantic Relations
55,the-7ds-decarbonisation-extended__Decarbonisation.pdf,China
55,the-7ds-decarbonisation-extended__Decarbonisation.pdf,Climate and Environment
55,the-7ds-decarbonisation-extended__Decarbonisation.pdf,Energy
55,the-7ds-decarbonisation-extended__Decarbonisation.pdf,Industrial and Economic Policy
55,the-7ds-decarbonisation-extended__Decarbonisation.pdf,Infrastructure and Transport
56,christian-democracy-conservatism-and-the-challenge-of-the-extremes__Christian-Democracy-Conservatism-and-the-Challenge-of-the-Extremes.pdf,Elections and Parties
56,christian-democracy-conservatism-and-the-challenge-of-the-extremes__Christian-Democracy-Conservatism-and-the-Challenge-of-the-Extremes.pdf,European Identity and Values
56,christian-democracy-conservatism-and-the-challenge-of-the-extremes__Christian-Democracy-Conservatism-and-the-Challenge-of-the-Extremes.pdf,Populism and Extremism
57,resilience-unveiled-shaping-the-future-of-central-europe__Resilience-Unveiled-Shaping-the-Future-of-Central-Europe.pdf,Populism and Extremism
57,resilience-unveiled-shaping-the-future-of-central-europe__Resilience-Unveiled-Shaping-the-Future-of-Central-Europe.pdf,"Education, Research and Youth"
58,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf,China
58,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf,Russia and Ukraine
58,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf,South Caucasus and Central Asia
58,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf,Industrial and Economic Policy
58,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf,Transatlantic Relations
59,the-7ds-democracy-extended__Democracy.pdf,European Identity and Values
59,the-7ds-democracy-extended__Democracy.pdf,Populism and Extremism
59,the-7ds-democracy-extended__Democracy.pdf,Climate and Environment
59,the-7ds-democracy-extended__Democracy.pdf,"Education, Research and Youth"
59,the-7ds-democracy-extended__Democracy.pdf,Industrial and Economic Policy
60,challenges-of-belarusian-migration-in-the-eu__KA_book_2023_EN.pdf,Baltic Region
60,challenges-of-belarusian-migration-in-the-eu__KA_book_2023_EN.pdf,Russia and Ukraine
60,challenges-of-belarusian-migration-in-the-eu__KA_book_2023_EN.pdf,Migration
60,challenges-of-belarusian-migration-in-the-eu__KA_book_2023_EN.pdf,Social Protection and Housing
61,youth-of-the-epp-25-years-on-the-right-side-of-history__YEPP-25-Years-Publication.pdf,Populism and Extremism
61,youth-of-the-epp-25-years-on-the-right-side-of-history__YEPP-25-Years-Publication.pdf,"Education, Research and Youth"
62,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_9.pdf,Russia and Ukraine
62,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_9.pdf,Defence and Military
62,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_9.pdf,Transatlantic Relations
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,Asia and Indo-Pacific
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,China
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,EU Enlargement
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,South Caucasus and Central Asia
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,Defence and Military
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf,Transatlantic Relations
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,Asia and Indo-Pacific
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,China
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,Industrial and Economic Policy
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,Infrastructure and Transport
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,Trade
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf,Transatlantic Relations
65,financing-politics-in-europe-a-political-party-roadmap-for-more-transparency-and-effectiveness__Financing-Politics-in-Europe.pdf,Populism and Extremism
65,financing-politics-in-europe-a-political-party-roadmap-for-more-transparency-and-effectiveness__Financing-Politics-in-Europe.pdf,Transatlantic Relations
66,middle-class-concerns-and-european-challenges-a-data-driven-study-from-a-centre-right-perspective__Middle-Class-Concerns-and-European-Challenges.pdf,European Identity and Values
66,middle-class-concerns-and-european-challenges-a-data-driven-study-from-a-centre-right-perspective__Middle-Class-Concerns-and-European-Challenges.pdf,Populism and Extremism
66,middle-class-concerns-and-european-challenges-a-data-driven-study-from-a-centre-right-perspective__Middle-Class-Concerns-and-European-Challenges.pdf,Russia and Ukraine
66,middle-class-concerns-and-european-challenges-a-data-driven-study-from-a-centre-right-perspective__Middle-Class-Concerns-and-European-Challenges.pdf,Transatlantic Relations
67,evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf,Asia and Indo-Pacific
67,evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf,China
67,evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf,Industrial and Economic Policy
67,evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf,Defence and Military
67,evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf,Transatlantic Relations
68,security-and-defence-days-conference-proceedings__SDD-2022.pdf,Middle East and North Africa
68,security-and-defence-days-conference-proceedings__SDD-2022.pdf,Russia and Ukraine
68,security-and-defence-days-conference-proceedings__SDD-2022.pdf,Defence and Military
68,security-and-defence-days-conference-proceedings__SDD-2022.pdf,Transatlantic Relations
69,breaking-free-europes-path-to-greater-financial-autonomy__Martens-Centre-Policy-Brief.pdf,Transatlantic Relations
70,up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf,Populism and Extremism
70,up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf,Climate and Environment
70,up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf,Industrial and Economic Policy
70,up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf,Trade
70,up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf,Labour Market
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,Asia and Indo-Pacific
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,China
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,EU Enlargement
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,South Caucasus and Central Asia
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,Trade
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,Defence and Military
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf,Transatlantic Relations
72,the-future-of-transatlantic-relations_walshe-2025-a-european-way-of-war-towards-doctrine-to-defend-against-russia-without-the-us.pdf,Russia and Ukraine
