url,title,date,author,summary,pdf_link
https://www.martenscentre.eu/publication/activity-report-2024/,Activity Report 2024,10 April 2025,,"2024 was another year of seismic shifts. The EU faced a barrage of challenges, reshaping the global landscape and demanding a fundamental reassessment of our collective future. This annual report by the Wilfried Martens Centre for European Studies provides insightful information on our key areas of focus from the past year, demonstrating our commitment to providing actionable solutions for the EU’s present challenges. -Mikuláš Dzurinda, President of the Wilfried Martens Centre for European Studies ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook",
https://www.martenscentre.eu/publication/how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda/,How Mainstream Parties Can Defend Democracy by Adopting Parts of the Populist Agenda,08 April 2025,,"The German parliamentary election of 23 February reopened the question of how the political mainstream should deal with far-right agitation on immigration and identity. A popular rule of thumb holds that where the far-right attempts to legitimise people’s fear of immigrants and globalisation, mainstream parties should withstand the temptation to copy the far-right focus on immigration lest they strengthen the extremes and lose votes. Recent examples of national parliamentary elections in Europe show that the ‘copy-versus-the original’ thesis is false. The cases of Germany, Portugal, Poland, Greece and Denmark demonstrate that it is possible for the political mainstream to make immigration a rallying theme and win at the polls. In these countries, mainstream parties did ‘copy’ immigration as a campaign topic from the national populists or the far right. However, they did not reproduce the populist narratives in their entirety. Instead, these parties adopted tougher positions on immigration without the xenophobic undertones. On assuming power, they kept their countries firmly anchored to the framework of liberal democracy. ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook",
https://www.martenscentre.eu/publication/preventing-georgia-from-sliding-away-options-for-the-european-union/,Preventing Georgia from Sliding Away: Options for the European Union,03 April 2025,,"In the aftermath of the 2024 parliamentary elections, Georgia slipped into a period of deep political crisis. The ruling Georgian Dream (GD) government has unilaterally decided to suspend EU accession talks until 2028 – despite the country having obtained EU candidate status in December 2023. This triggered mass unrest and raised serious concerns over Georgia’s democratic trajectory. Framed by GD as a move to protect national sovereignty from so-called undue external influence, the suspension is widely interpreted as a rejection of the EU’s reform conditions and a pivot away from democratic commitments and sliding back into the Russian sphere of influence. The decision has intensified domestic polarisation, with large swaths of the population viewing it as a betrayal of Georgia’s path to Europe. Protests have erupted nationwide, continuing for over 126 days. Demonstrators demand snap elections, increased accountability, and a recommitment to democratic norms. Over 500 individuals have been detained for participating in the protests. Among them, more than 50 have been charged with criminal offenses such as organising group violence, attacking police officers, and property damage. Several activists and journalists remain in custody under questionable charges. In parallel with suspending EU accession talks, the GD government has adopted a package of legislative measures without due public consultations, to further undermine democratic governance. These include a Foreign Agents Registration Act targeting civil society, restrictions on foreign funding for media that threaten independent journalism, and regressive amendments to gender equality laws. Further changes have politicised civil service appointments, weakened civil society’s structured role in participating in and monitoring policymaking, and introduced a controversial bill to ban political parties linked to the opposition. Together, these moves represent a clear drift toward authoritarian consolidation and a sharp departure from European democratic values. ENJOYING THIS CONTENT? Download the publication",
https://www.martenscentre.eu/publication/hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power/,"Hedging Chaos: How the EU, Japan and South Korea Can Shape a New Type of Trading Power",04 March 2025,,"Committing to a rules-based, multilateral order is no longer enough. The EU needs an expanded trading playbook to meet the geopolitical moment. And while a strong transatlantic trading alliance will always remain central to the EU’s economic future, Brussels should not be purely reactive to policy shifts in Washington. Rather, the EU should develop flexible coalitions of trading economies, formed on an issue-by-issue basis. These coalitions—while anchored in trading relationships with Washington— should be conscious of the common challenges their members face due to the more transactional, and China-focused, US approach. As a first step, Brussels’s conception of the transatlantic alliance must be broadened into that of a trans-oceanic network, with an initial focus on Japan and South Korea. Both of these states and the EU face a US–China trade trilemma and all exhibit fundamental security dependencies on Washington. In this context, closer partnerships with Tokyo and Seoul will diversify EU trading risks and create a hedge against greater US conditionality. If developed in the context of US economic security and trading frameworks, these partnerships could also provide a common platform for navigating some of the US’s demands with regard to de-risking from China. Three principles are proposed. The first—compartmentalisation—refers to establishing mutually beneficial partnerships focused on sectoral issues, meaning partnerships which do not become distracted by the inevitable geopolitical disagreements in other areas. Several sectors are proposed for immediate further cooperation. The second—something new, something borrowed—holds that what is required is an evolution (and the extension) of existing agreements, rather than the creation of unnecessary new formats or institutions. The third principle is that these should be partnerships based on both pragmatism and politics, and therefore the extension of these agreements to like-minded partners should be a top priority. The UK should be the immediate focus, given London’s geopolitical links to Europe, the US and Asia. ENJOYING THIS CONTENT? Download the publication",
https://www.martenscentre.eu/publication/christian-democracy-conservatism-and-the-challenge-of-the-extremes/,"Christian Democracy, Conservatism and the Challenge of the Extremes",10 February 2025,,"This book examines the political challenges facing Europe’s centre-right, focusing on the rise of radical-right parties and their impact on democracy, European integration, and transatlantic ties. It explores the values and strategies of Christian Democracy and conservatism, with emphasis on the European People’s Party (EPP). Contributors, including politicians and academics, discuss ways to counter populism and nationalism through collaboration, sustainability, and reaffirmed values. This analysis is essential for understanding the future of European politics. If you are interested in purchasing a physical copy of the book, you can do so by clickinghere. ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook",
https://www.martenscentre.eu/publication/reconstructing-ukraine-how-the-eu-and-ukraine-can-mutually-benefit/,Reconstructing Ukraine: How the EU and Ukraine Can Mutually Benefit,21 January 2025,,"As of January 2024, The Russian invasion of Ukraine has had a substantial impact on the Ukrainian economy, leading to approximately $152 billion in overall direct damage to the Ukrainian economy. The energy ($11 billion), transportation ($34 billion), and housing and utilities ($56 billion) sectors were among those that experienced the heaviest damage, constituting nearly 75% of the total damage. Ukraine is projected to require $486 billion in recovery and reconstruction needs within a decade while considering economic factors like inflationary pressure and compliance with modern standards (e.g., low energy intensity). In this regard, the energy ($47 billion), housing ($80 billion), and transportation ($74 billion) sectors would require funding for nearly half of these recovery needs during this period. This report aims to understand Ukraine’s key reconstruction needs, the response to them, and potential ways the EU can contribute to Ukrainian recovery. It seeks to identify critical areas where the EU can focus its reconstruction efforts for the near-term and long-term perspective and potential benefits for Ukraine and the EU. This report also explores ways of enhancing collaboration between the Ukrainian government and the EU to speed up reconstruction efforts across Ukraine. It will touch upon the various funding instruments at the EU level and how to utilise them effectively to ensure transparent and sustainable support for the Ukrainian economic recovery. This report is based on primary (e.g., laws and regulations) and secondary (e.g., think tank reports, damage and recovery needs assessments, as well as EU and official publications) data review and analysis. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/a-digital-euro-balancing-innovation-autonomy-and-trust/,"A Digital Euro: Balancing Innovation, Autonomy and Trust",16 January 2025,,"The digital euro project is a reaction to citizen preferences shifting towards payment via digital means. It addresses the fragmentation of the European payment sector with the aim of highlighting ways to support the single market, strategic autonomy and the monetary sovereignty of the EU. Because the digital euro is a complex project requiring a thorough legal, economic and political assessment, this policy brief looks at three crucial aspects of the proposal. The brief first presents the essential features of the digital euro project in the context of European law, economics and politics. In contrast to private forms of electronic money that private banks create, the digital euro will be a retail central bank digital currency. As such, it will be a direct liability of the central bank, like cash. With many payments moving online, the digital euro ensures the role of public money in an increasingly digitised economy. This digital euro legislative framework should ensure trust by guaranteeing privacy, access to cash and financial inclusion. The establishment of a digital euro has the potential to cause structural changes to the banking system. Thus, it will need to have carefully calibrated holding limits and will not be remunerated—that is, like cash, interest rates will not be applied. Third, the policy brief identifies critical aspects, such as the distribution of competences between the lawmakers and the European Central Bank, that require thorough legal, economic and, ultimately, political assessment. Policymakers face difficult questions that ultimately relate to the European Central Bank’s exclusive competence over monetary policy, central bank independence and the relationship of these issues to the structure of the financial system. The brief concludes by offering a series of recommendations for policymakers. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/the-7ds-extended/,The 7Ds Extended,31 December 2024,,"A Roadmap for a Sustainable Future Since its inception, the Martens Centre’s project The 7Ds for Sustainability has catalysed interest, fostered dialogue and spurred action. However, as both European politics and global challenges continue to evolve at a rapid pace, we must redouble our efforts. With a new European Parliament and Commission at the helm, the stakes are higher than ever. The interconnected crises—geopolitical tensions, divided societies, climate change, inequality, and the urgent need for competitiveness and prosperity—demand a bold and unified strategy. I am therefore pleased to present the extended version of the Martens Centre’s strategic document. The7Ds for Sustainability: Extendedoffers a timely and insightful roadmap for navigating this complex landscape. This comprehensive policy book was born out of the collaborative efforts of the Martens Centre research team—under the guidance of Klaus Welle, Chairman of the Martens Centre Academic Council and former Secretary General of the European Parliament—and a group of renowned external experts. The book provides a nuanced and actionable framework for addressing the pressing issues of our time. The publication outlines seven policy areas: decarbonisation, defence, democracy, demography, de-risking globalisation and digitalisation. These form the bedrock of a more resilient, equitable and prosperous EU. Each chapter provides a comprehensive analysis of the specific challenges and opportunities within these domains, offering actionable policy recommendations to guide the EU’s future trajectory.",
https://www.martenscentre.eu/publication/the-7ds-digitalisation-extended/,The 7Ds – Digitalisation Extended,30 December 2024,,"Alongside the Green Deal and the first steps towards a Defence Union, creating a single European digital space was a key project of the outgoing European Commission (2019–24). This involved establishing an interconnected set of rules and regulations aimed at creating a level playing field for competition among European and international companies, enhancing the rights of Europe’s ‘digital citizens’, protecting the integrity of democratic institutions and processes, and promoting global cooperation in the digital sphere. Digitalisation is now seen as a key enabler that will lay the foundation for Europe’s future value creation. The success of this project will also determine the geopolitical weight of the Union vis-à-vis major competing powers such as the US and China. From a novel approach to artificial intelligence governance to a revamped understanding of competition law in the digital domain, the EU’s ambitions are high. Yet, piecemeal legislation and the lack of a fully integrated digital single market have led to inconsistent regulation, infrastructure gaps, a lack of investment and security-related issues in its digital sphere. Many European tech companies are struggling to offer their services outside national borders and to expand their reach to a genuinely European (and global) customer base. To survive in a world where the US and China and their digital giants dominate international competition, the EU needs not only up-to-date regulations that create a fair and level playing field and protect the interests of European citizens but also a strong industrial base. The EU must ensure the production and importation of next-generation semiconductors, joint European funding for breakthrough research and development, and access to secure global supply chains. These goals cannot remain aspirations but must be realised. The resilience of hardware infrastructure and software services throughout the EU is more than a mere technical concern: it impacts the security of sensitive user data, intellectual property rights and national security. At the same time, Europe needs a new culture of risk-taking and entrepreneurship to unleash the innovation potential of digitalisation in the fields of the green transformation and healthcare. Digitalisation is also helping to overcome regional disparities within Europe and is enabling new growth, particularly in the Central and Eastern European countries. The EU needs to boost its internal connectivity and digital excellence, and prepare for the ever-expanding global threats from hostile actors, malicious digital applications and state-led malign influence on online campaigns. When it comes to international partnerships, ‘coopetition’ will be the modus operandi of those countries that are part of the global democratic alliance. At the same time, efforts continue to be made to find a global consensus on the general principles for the use of artificial intelligence. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/the-7ds-de-risking-globalisation-extended/,The 7Ds – De-risking Globalisation Extended,30 December 2024,,"Several crises over the last two decades, including the Covid-19 pandemic and, most recently, the Russian war against Ukraine, have shown the vulnerability of global supply-chain systems and have shattered illusions about ever-progressing globalisation. This has forced the EU to rethink its traditional reliance on and support for multilateralism and global cooperation, which had led to an over-dependence on certain countries and producers in crucial fields such as raw materials and chemical products. Over the last couple of years, the Union has responded to these developments by creating a series of policies and launching initiatives to de- risk its economic relations and reduce the potential for political blackmail. The biggest systemic competitor in this respect is China, due to its economic power, political governance system and global revisionist ambitions. The challenges posed by its unique politico-economic system require a comprehensive answer from all open and market-based societies in the West. Any de-risking strategy has to consider the effects on the sustainable transformation the EU is currently undergoing. Europe has always been a herald for open markets and globalisation. As it undergoes a massive transformation towards a low-emission economy, Europe should not build ‘green walls’ and engage in a subsidy race that may damage its long-term competitiveness. The success and flexibility of Europe’s economy lie largely in supporting flourishing ecosystems for small and medium-sized enterprises. Industrial policy can contribute to enhanced resilience but must avoid over- regulation and unilaterally favouring large companies. Shielding Europe’s economy and political system from external risks should not lead to abandoning the efforts to revitalise an open and sustainable global trade system. The priority should be to create alliances of the willing and promote the EU as a regulatory leader and reliable partner for third countries, particularly in the Global South. Strengthening the transatlantic trading relationship will continue to be a key element of this strategy.",
https://www.martenscentre.eu/publication/the-7ds-demography-extended/,The 7Ds – Demography Extended,30 December 2024,,"The European welfare state is being challenged by new realities. People’s outlooks on life have changed dramatically over the past decades, including their views on religion, the family and work. The consequences of these societal changes include rising life expectancies and stagnating fertility rates that are insufficient for the natural increase of the population. Humanity’s efforts to curtail overpopulation and increase longevity have caused the ageing of our societies, a trend that has been under way for decades. Our institutions and policies are not ready for these developments. National social security systems lack sustainable funding. Labour market rules are lagging behind the needs of the ageing societies, and these rules do not capitalise on the experience that older workers can bring in. In general, pronatalist policies in the form of cash transfers to young families have not fulfilled their objective. The EU’s population has been growing only thanks to immigration from outside the bloc, but family reunification—the most frequent type of EU-bound immigration—has not improved the ratios of workers to non-workers. In Southern and Eastern Europe and in many regions elsewhere on the continent, depopulation and emigration are compounding the problems caused by ageing. Moreover, the Covid-19 pandemic has contributed to a worsening of mental health. This has impacted young people with particular severity, keeping them out of schools and jobs. To mitigate the effects of population ageing and the other phenomena mentioned, it is incumbent on the EU’s national governments to create institutional environments that increase human capital and make it easier for women and men to both pursue a career and raise a family. As for the numbers of children born, the fact that fertility rates in some EU countries are higher than in others suggests the crucial importance of national social policies. It used be assumed that a woman who ‘stays at home’ is more likely to have children than a woman who ‘pursues a career.’ Contrary to that outdated notion, it now appears that having stable work allows those who wish to have children to choose to do so. Health care, affordable housing and lifelong learning have become crucial for maintaining the well-being of the population and a productive labour force. The participation of women, older people, young people and immigrant groups in the labour market must be increased. The state pension age should be increased, albeit with elements of flexibility to allow for individual choice. Finally, innovative solutions are needed to address both depopulation in some countries and areas and the growing regional imbalances within the EU. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/the-7ds-democracy-extended/,The 7Ds – Democracy Extended,30 December 2024,,"Democracy is the beating heart and core of the EU’s identity, along with peace. From its inception in the aftermath of the Second World War, European integration has been open only to democratic countries that respect the rule of law and fundamental freedoms. It has also played an essential role in democratising, stabilising and integrating new countries, from Greece, Spain and Portugal in the 1970s and 1980s to the post-Communist countries of Central and Eastern Europe in the 1990s and 2000s. Since the first direct election of the European Parliament in 1979, the EU’s democratic system has developed hugely too: by increasing transparency, empowering the European Parliament, making the European Commission more accountable and even involving citizens in innovative experiments such as the Conference on the Future of Europe. As a result, the EU now has clear dual democratic legitimacy as a union of states and citizens, each represented in one of the equal co-legislators: the Council and the European Parliament respectively. Moreover, the multilevel nature of EU democracy is recognised through the direct involvement of the national parliaments in various capacities, from the ratification of mixed trade agreements to the yellow and orange card procedures which protect subsidiarity. As a side effect of the last 15 years of successive crises, EU affairs have also become more politicised. As a result, European issues have become essential to national democratic debates, and a European public sphere has finally begun to emerge. It is important that democratic accountability does not lag behind political and institutional developments, as has at times been the case over the last decades when new rules and bodies have been created outside the EU legal framework to react to crisis situations. As the EU acquires new powers and competences to manage new challenges in the most diverse fields, it will be necessary to improve the quality of EU democracy, the legitimacy of its institutions, and their responsiveness to the needs and preferences of the EU member states and citizens. Moreover, democratic values and institutions face new challenges, such as disinformation, polarisation and a lack of trust in political elites—all in a world of systemic rivalry. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/the-7ds-decarbonisation-extended/,The 7Ds – Decarbonisation Extended,30 December 2024,,"With its 2019 Green Deal and the goal of carbon neutrality by 2050, the EU aims to become the most influential global actor when it comes to advancing the international agenda on decarbonisation and the fight against climate change. Geopolitical conflicts have increasingly shifted political priorities and resources, making the commitments pledged in the previous decade even more challenging to achieve. At the same time, resilience and economic security have become key criteria for the future transformation. Through its domestic and external relationships, the EU has to be able to ensure a sufficient and reliable supply of materials, fuels, technologies and skills, while meeting the energy demand of its citizens and industries in a secure, flexible and efficient manner. The benefits of the transformation project must be balanced with the need for social acceptance. Openness towards manifold innovation patterns is as important as political and regulatory predictability. Given the gigantic financial resources needed to transform the existing fossil-based economies, the role of the private sector is crucial to making this happen faster and in a more cost-efficient manner. The volume of private investment in technology and infrastructure must be scaled up massively, as public sources will be less available due to the already high levels of debt. Due to the the existing regulatory framework, financial instruments are still not sufficiently accessible for a large part of the corporate sector. In particular, small and medium-sized enterprises (SMEs) lack access to bond market investors and various sophisticated products. For too long, issues linked to the green transition have been separated from those related to the security of raw materials. But this ignores the ways in which both kinds of issues are inextricably bound up with each. This is because some of these raw materials are components essential to digitalisation, and the green transition and digitalisation are inseparably linked with each other. Ensuring a stable and affordable raw material supply chain without getting into new import dependencies, with all their geopolitical implications, requires a strategic reorientation of European politics. The EU has to regain lost ground in the design and production of innovative clean technology. Most of the progress in this area is being made in North America and Asia, and it is there that most large-scale production is also taking place. State subsidies have distorted the level playing field and given rise to daunting challenges for European companies.",
